focal,estimator,experience,industry,region,health,yearFE,sample,identified,b,se
union,within,0,0,1,0,0,trim,1,0.063439,0.024489
union,within,0,0,1,0,1,full,1,0.085449,0.024879
union,within,0,0,1,0,1,nohealth,1,0.085327,0.025086
union,within,0,0,1,0,1,trim,1,0.071612,0.021082
union,within,1,0,1,0,0,full,1,0.083511,0.024584
union,within,1,0,1,0,0,nohealth,1,0.083583,0.024764
union,within,1,0,1,0,0,trim,1,0.068672,0.020752
union,within,1,0,1,0,1,full,1,0.081493,0.024517
union,within,1,0,1,0,1,nohealth,1,0.081275,0.024745
union,within,1,0,1,0,1,trim,1,0.067638,0.020790
union,within,0,1,1,0,0,full,1,0.068376,0.026704
union,within,0,1,1,0,0,nohealth,1,0.069061,0.026982
union,within,0,1,1,0,0,trim,1,0.050186,0.022483
union,within,0,1,1,0,1,full,1,0.082737,0.024164
union,within,0,1,1,0,1,nohealth,1,0.083312,0.024380
union,within,0,1,1,0,1,trim,1,0.064538,0.020074
union,within,1,1,1,0,0,full,1,0.080931,0.023925
union,within,1,1,1,0,0,nohealth,1,0.081684,0.024109
union,within,1,1,1,0,0,trim,1,0.062034,0.019811
union,within,1,1,1,0,1,full,1,0.079046,0.023893
union,within,1,1,1,0,1,nohealth,1,0.079521,0.024135
union,within,1,1,1,0,1,trim,1,0.061064,0.019872
union,within,0,0,0,1,0,full,1,0.074156,0.028515
union,within,0,0,0,1,0,nohealth,1,0.074727,0.028725
union,within,0,0,0,1,0,trim,1,0.061322,0.024508
union,within,0,0,0,1,1,full,1,0.084911,0.024844
union,within,0,0,0,1,1,nohealth,1,0.085093,0.025055
union,within,0,0,0,1,1,trim,1,0.071499,0.021110
union,within,1,0,0,1,0,full,1,0.083148,0.024550
union,within,1,0,0,1,0,nohealth,1,0.083480,0.024735
union,within,1,0,0,1,0,trim,1,0.068765,0.020790
union,within,1,0,0,1,1,full,1,0.081109,0.024478
union,within,1,0,0,1,1,nohealth,1,0.081169,0.024709
union,within,1,0,0,1,1,trim,1,0.067672,0.020820
union,within,0,1,0,1,0,full,1,0.065229,0.026665
union,within,0,1,0,1,0,nohealth,1,0.066366,0.026933
union,within,0,1,0,1,0,trim,1,0.048201,0.022491
union,within,0,1,0,1,1,full,1,0.082256,0.024182
union,within,0,1,0,1,1,nohealth,1,0.083073,0.024413
union,within,0,1,0,1,1,trim,1,0.064592,0.020134
union,within,1,1,0,1,0,full,1,0.080642,0.023942
union,within,1,1,0,1,0,nohealth,1,0.081605,0.024143
union,within,1,1,0,1,0,trim,1,0.062316,0.019882
union,within,1,1,0,1,1,full,1,0.078727,0.023906
union,within,1,1,0,1,1,nohealth,1,0.079420,0.024163
union,within,1,1,0,1,1,trim,1,0.061274,0.019933
union,within,0,0,1,1,0,full,1,0.076677,0.028608
union,within,0,0,1,1,0,nohealth,1,0.077233,0.028817
union,within,0,0,1,1,0,trim,1,0.062925,0.024549
union,within,0,0,1,1,1,full,1,0.085210,0.024880
union,within,0,0,1,1,1,nohealth,1,0.085327,0.025086
union,within,0,0,1,1,1,trim,1,0.071372,0.021099
union,within,1,0,1,1,0,full,1,0.083308,0.024581
union,within,1,0,1,1,0,nohealth,1,0.083583,0.024764
union,within,1,0,1,1,0,trim,1,0.068468,0.020766
union,within,1,0,1,1,1,full,1,0.081284,0.024518
union,within,1,0,1,1,1,nohealth,1,0.081275,0.024745
union,within,1,0,1,1,1,trim,1,0.067428,0.020806
union,within,0,1,1,1,0,full,1,0.067918,0.026719
union,within,0,1,1,1,0,nohealth,1,0.069061,0.026982
union,within,0,1,1,1,0,trim,1,0.049774,0.022516
union,within,0,1,1,1,1,full,1,0.082546,0.024154
union,within,0,1,1,1,1,nohealth,1,0.083312,0.024380
union,within,0,1,1,1,1,trim,1,0.064351,0.020077
union,within,1,1,1,1,0,full,1,0.080768,0.023912
union,within,1,1,1,1,0,nohealth,1,0.081684,0.024109
union,within,1,1,1,1,0,trim,1,0.061873,0.019812
union,within,1,1,1,1,1,full,1,0.078884,0.023883
union,within,1,1,1,1,1,nohealth,1,0.079521,0.024135
union,within,1,1,1,1,1,trim,1,0.060902,0.019875
union,fd,0,0,0,0,0,full,1,0.042546,0.022096
union,fd,0,0,0,0,0,nohealth,1,0.044979,0.021593
union,fd,0,0,0,0,0,trim,1,0.021642,0.017572
union,fd,0,0,0,0,1,full,1,0.042029,0.021978
union,fd,0,0,0,0,1,nohealth,1,0.044801,0.021516
union,fd,0,0,0,0,1,trim,1,0.022054,0.017527
union,fd,1,0,0,0,0,full,1,0.042929,0.022079
union,fd,1,0,0,0,0,nohealth,1,0.045695,0.021580
union,fd,1,0,0,0,0,trim,1,0.021745,0.017548
union,fd,1,0,0,0,1,full,1,0.041283,0.021981
union,fd,1,0,0,0,1,nohealth,1,0.044154,0.021529
union,fd,1,0,0,0,1,trim,1,0.021252,0.017516
union,fd,0,1,0,0,0,full,1,0.039515,0.022225
union,fd,0,1,0,0,0,nohealth,1,0.042349,0.021665
union,fd,0,1,0,0,0,trim,1,0.018404,0.017478
union,fd,0,1,0,0,1,full,1,0.039433,0.022086
union,fd,0,1,0,0,1,nohealth,1,0.042726,0.021575
union,fd,0,1,0,0,1,trim,1,0.019083,0.017425
union,fd,1,1,0,0,0,full,1,0.039993,0.022194
union,fd,1,1,0,0,0,nohealth,1,0.043240,0.021634
union,fd,1,1,0,0,0,trim,1,0.018595,0.017435
union,fd,1,1,0,0,1,full,1,0.038735,0.022086
union,fd,1,1,0,0,1,nohealth,1,0.042157,0.021583
union,fd,1,1,0,0,1,trim,1,0.018355,0.017416
