focal,estimator,experience,industry,region,health,yearFE,sample,identified,b,se
union,random,1,0,0,1,0,nohealth,1,0.101600,0.021357
union,random,1,0,0,1,0,trim,1,0.085390,0.018394
union,random,1,0,0,1,1,full,1,0.102830,0.021124
union,random,1,0,0,1,1,nohealth,1,0.102907,0.021243
union,random,1,0,0,1,1,trim,1,0.086793,0.018328
union,random,0,1,0,1,0,full,1,0.087289,0.022613
union,random,0,1,0,1,0,nohealth,1,0.088008,0.022773
union,random,0,1,0,1,0,trim,1,0.069105,0.019562
union,random,0,1,0,1,1,full,1,0.100772,0.020808
union,random,0,1,0,1,1,nohealth,1,0.101312,0.020950
union,random,0,1,0,1,1,trim,1,0.081696,0.017725
union,random,1,1,0,1,0,full,1,0.094596,0.020715
union,random,1,1,0,1,0,nohealth,1,0.095226,0.020839
union,random,1,1,0,1,0,trim,1,0.075932,0.017614
union,random,1,1,0,1,1,full,1,0.097043,0.020581
union,random,1,1,0,1,1,nohealth,1,0.097542,0.020742
union,random,1,1,0,1,1,trim,1,0.078233,0.017538
union,random,0,0,1,1,0,full,1,0.103097,0.024160
union,random,0,0,1,1,0,nohealth,1,0.103728,0.024208
union,random,0,0,1,1,0,trim,1,0.086899,0.021208
union,random,0,0,1,1,1,full,1,0.107234,0.021456
union,random,0,0,1,1,1,nohealth,1,0.107362,0.021552
union,random,0,0,1,1,1,trim,1,0.090724,0.018560
union,random,1,0,1,1,0,full,1,0.101204,0.021328
union,random,1,0,1,1,0,nohealth,1,0.101428,0.021402
union,random,1,0,1,1,0,trim,1,0.084831,0.018378
union,random,1,0,1,1,1,full,1,0.103107,0.021191
union,random,1,0,1,1,1,nohealth,1,0.103150,0.021305
union,random,1,0,1,1,1,trim,1,0.086532,0.018331
union,random,0,1,1,1,0,full,1,0.088553,0.022702
union,random,0,1,1,1,0,nohealth,1,0.089293,0.022857
union,random,0,1,1,1,0,trim,1,0.069852,0.019590
union,random,0,1,1,1,1,full,1,0.100694,0.020810
union,random,0,1,1,1,1,nohealth,1,0.101224,0.020948
union,random,0,1,1,1,1,trim,1,0.081253,0.017684
union,random,1,1,1,1,0,full,1,0.094184,0.020705
union,random,1,1,1,1,0,nohealth,1,0.094795,0.020826
union,random,1,1,1,1,0,trim,1,0.075225,0.017557
union,random,1,1,1,1,1,full,1,0.097100,0.020593
union,random,1,1,1,1,1,nohealth,1,0.097594,0.020751
union,random,1,1,1,1,1,trim,1,0.077890,0.017504
union,within,0,0,0,0,0,full,1,0.074686,0.028478
union,within,0,0,0,0,0,nohealth,1,0.074727,0.028725
union,within,0,0,0,0,0,trim,1,0.061816,0.024451
union,within,0,0,0,0,1,full,1,0.085133,0.024845
union,within,0,0,0,0,1,nohealth,1,0.085093,0.025055
union,within,0,0,0,0,1,trim,1,0.071726,0.021095
union,within,1,0,0,0,0,full,1,0.083335,0.024553
union,within,1,0,0,0,0,nohealth,1,0.083480,0.024735
union,within,1,0,0,0,0,trim,1,0.068959,0.020777
union,within,1,0,0,0,1,full,1,0.081301,0.024479
union,within,1,0,0,0,1,nohealth,1,0.081169,0.024709
union,within,1,0,0,0,1,trim,1,0.067872,0.020805
union,within,0,1,0,0,0,full,1,0.065665,0.026653
union,within,0,1,0,0,0,nohealth,1,0.066366,0.026933
union,within,0,1,0,0,0,trim,1,0.048597,0.022461
union,within,0,1,0,0,1,full,1,0.082432,0.024194
union,within,0,1,0,0,1,nohealth,1,0.083073,0.024413
union,within,0,1,0,0,1,trim,1,0.064768,0.020132
union,within,1,1,0,0,0,full,1,0.080791,0.023957
union,within,1,1,0,0,0,nohealth,1,0.081605,0.024143
union,within,1,1,0,0,0,trim,1,0.062467,0.019881
union,within,1,1,0,0,1,full,1,0.078875,0.023918
union,within,1,1,0,0,1,nohealth,1,0.079420,0.024163
union,within,1,1,0,0,1,trim,1,0.061426,0.019932
union,within,0,0,1,0,0,full,1,0.077232,0.028568
